"Date","In Time","Out Time","Duration"
"28-Jan-2020","--","--","--"
"29-Jan-2020","--","--","--"
"30-Jan-2020","--","--","--"
"31-Jan-2020","--","--","--"
"01-Feb-2020","--","--","--"
"02-Feb-2020","--","--","--"
"03-Feb-2020","--","--","--"
"04-Feb-2020","09:48:58","18:30:08","8 hours 42 minutes"
"05-Feb-2020","09:31:34","09:31:34","0 hours 0 minutes"
"06-Feb-2020","09:41:20","17:45:42","8 hours 4 minutes"
"07-Feb-2020","09:39:14","17:44:06","8 hours 5 minutes"
"08-Feb-2020","--","--","--"
"09-Feb-2020","--","--","--"
"10-Feb-2020","09:36:05","18:15:24","8 hours 39 minutes"
"11-Feb-2020","09:31:17","18:22:49","8 hours 51 minutes"
"12-Feb-2020","09:33:31","18:32:58","8 hours 59 minutes"
"13-Feb-2020","09:47:38","17:43:04","7 hours 56 minutes"
"14-Feb-2020","09:40:43","17:26:10","7 hours 46 minutes"
"15-Feb-2020","--","--","--"
"16-Feb-2020","--","--","--"
"17-Feb-2020","09:31:22","18:22:21","8 hours 51 minutes"
"18-Feb-2020","09:32:58","18:19:55","8 hours 47 minutes"
"19-Feb-2020","09:35:20","18:15:16","8 hours 40 minutes"
"20-Feb-2020","09:36:39","18:19:48","8 hours 43 minutes"
"21-Feb-2020","09:24:10","18:19:35","8 hours 55 minutes"
"22-Feb-2020","--","--","--"
"23-Feb-2020","--","--","--"
"24-Feb-2020","09:37:47","18:18:51","8 hours 41 minutes"
"25-Feb-2020","09:35:00","18:18:58","8 hours 43 minutes"
"26-Feb-2020","--","--","--"
